Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,09-04-2019,Banglore,Delhi,04:00,06:50,2h 50m,non-stop,No info,3943.0
IndiGo,03-06-2019,Banglore,Delhi,08:30,11:20,2h 50m,non-stop,No info,4823.0
Jet Airways,09-06-2019,Mumbai,Hyderabad,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210.0
Multiple carriers,27-05-2019,Delhi,Cochin,12:50,21:00,8h 10m,1 stop,No info,7005.0
Air India,06-06-2019,Delhi,Cochin,06:50,07-06-2021 07:40,24h 50m,2 stops,No info,13381.0
IndiGo,18-03-2019,Chennai,Kolkata,19:35,21:55,2h 20m,non-stop,No info,4332.0
SpiceJet,21-06-2019,Chennai,Kolkata,08:20,10:35,2h 15m,non-stop,No info,3597.0
Jet Airways,06-03-2019,Banglore,New Delhi,22:50,07-03-2021 09:30,10h 40m,1 stop,No info,17261.0
Jet Airways,24-03-2019,Kolkata,Banglore,13:55,25-03-2021 10:05,20h 10m,1 stop,No info,14231.0
Jet Airways,12-04-2019,Banglore,Delhi,11:10,14:05,2h 55m,non-stop,In-flight meal not included,5198.0
Jet Airways,01-05-2019,Banglore,Delhi,15:15,18:10,2h 55m,non-stop,In-flight meal not included,4544.0
IndiGo,03-04-2019,Kolkata,Banglore,17:15,19:50,2h 35m,non-stop,No info,4174.0
Air Asia,15-03-2019,Kolkata,Banglore,10:20,12:55,2h 35m,non-stop,No info,4384.0
Air India,27-05-2019,Delhi,Cochin,08:00,19:15,11h 15m,1 stop,No info,9929.0
SpiceJet,27-03-2019,Chennai,Kolkata,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3332.0
IndiGo,27-06-2019,Banglore,Delhi,00:25,03:15,2h 50m,non-stop,No info,3419.0
IndiGo,21-04-2019,Kolkata,Banglore,09:35,12:20,2h 45m,non-stop,No info,4804.0
Jet Airways,06-05-2019,Kolkata,Banglore,21:10,07-05-2021 10:05,12h 55m,1 stop,No info,13584.0
GoAir,18-06-2019,Banglore,Delhi,07:45,10:40,2h 55m,non-stop,No info,3419.0
Air India,12-06-2019,Delhi,Cochin,20:30,13-06-2021 08:15,11h 45m,1 stop,No info,8991.0
Jet Airways,24-05-2019,Kolkata,Banglore,08:25,19:50,11h 25m,1 stop,No info,14571.0
Jet Airways,01-05-2019,Kolkata,Banglore,14:05,19:50,5h 45m,1 stop,No info,14781.0
Jet Airways,09-05-2019,Kolkata,Banglore,09:35,10-05-2021 10:55,25h 20m,1 stop,No info,10953.0
Jet Airways,12-03-2019,Banglore,New Delhi,05:45,11:25,5h 40m,1 stop,No info,13817.0
Multiple carriers,01-06-2019,Delhi,Cochin,13:00,02-06-2021 01:30,12h 30m,1 stop,No info,7723.0
Jet Airways,03-06-2019,Delhi,Cochin,15:00,04-06-2021 04:25,13h 25m,1 stop,No info,14714.0
Multiple carriers,15-06-2019,Delhi,Cochin,17:50,16-06-2021 01:30,7h 40m,2 stops,No info,18485.0
